Title,Publication Year,Author,Genre,Average Rating,Number of Ratings,Number of Pages,Language,Currently Reading,Want to Read,Rank
American Gods,2001.0,Neil Gaiman,Fantasy,4.11,961872,635.0,N/A,47000.0,755000.0,1
Coraline,2002.0,Neil Gaiman,Fantasy,4.12,735467,176.0,English,12000.0,655000.0,2
The Ocean at the End of the Lane,2013.0,Neil Gaiman,Fantasy,4.02,640751,195.0,English,14900.0,527000.0,3
The Graveyard Book,2008.0,Neil Gaiman,Fantasy,4.16,554504,312.0,English,13400.0,424000.0,4
Neverwhere,1996.0,Neil Gaiman,Fantasy,4.17,546946,370.0,English,19700.0,489000.0,5
Stardust,1999.0,Neil Gaiman,Fantasy,4.1,469849,248.0,English,10200.0,395000.0,6
Norse Mythology,2017.0,Neil Gaiman,Fantasy,4.1,331870,301.0,English,27500.0,320000.0,7
Preludes & Nocturnes,1988.0,Neil Gaiman,Graphic Novels,4.25,268901,240.0,English,7469.0,204000.0,8
Anansi Boys,2005.0,Neil Gaiman,Fantasy,4.04,227226,387.0,English,7144.0,125000.0,9
"The Sandman, Vol. 3: Dream Country",1990.0,Neil Gaiman,Graphic Novels,4.24,123256,160.0,English,1249.0,60100.0,10
"The Sandman, Vol. 2: The Doll's House",1990.0,Neil Gaiman,Graphic Novels,4.43,108276,232.0,English,2075.0,36400.0,11
"The Sandman, Vol. 4: Season of Mists",1990.0,Neil Gaiman,Graphic Novels,4.53,79553,224.0,English,914.0,26300.0,12
"The Sandman, Vol. 5: A Game of You",1992.0,Neil Gaiman,Graphic Novels,4.41,67642,192.0,English,567.0,24600.0,13
Smoke and Mirrors: Short Fiction and Illusions,1998.0,Neil Gaiman,Fantasy,4.01,72972,365.0,English,3139.0,54700.0,14
Fragile Things: Short Fictions and Wonders,2006.0,Neil Gaiman,Fantasy,3.95,71313,384.0,English,4426.0,60000.0,15
"The Sandman, Vol. 7: Brief Lives",1993.0,Neil Gaiman,Graphic Novels,4.55,60284,256.0,English,463.0,22200.0,16
The Sandman: Overture,2015.0,Neil Gaiman,Graphic Novels,4.04,66291,224.0,English,694.0,56900.0,17
"Fortunately, the Milk",2013.0,Neil Gaiman,Fantasy,4.06,65778,128.0,English,986.0,38400.0,18
"The Sandman, Vol. 6: Fables & Reflections",1993.0,Neil Gaiman,Graphic Novels,4.42,60304,264.0,English,767.0,21600.0,19
Trigger Warning: Short Fictions and Disturbances,2015.0,Neil Gaiman,Fantasy,3.92,62504,310.0,English,5751.0,119000.0,20
"The Sandman, Vol. 8: Worlds' End",1993.0,Neil Gaiman,Graphic Novels,4.44,53506,160.0,English,414.0,527.0,21
"The Sandman, Vol. 9: The Kindly Ones",1995.0,Neil Gaiman,Graphic Novels,4.59,51754,352.0,English,436.0,22700.0,22
Marvel 1602,2003.0,Neil Gaiman,Comics,3.95,59062,248.0,English,1409.0,58800.0,23
"The Sandman, Vol. 10: The Wake",1996.0,Neil Gaiman,Graphic Novels,4.52,50975,192.0,English,290.0,21800.0,24
The Sleeper and the Spindle,2013.0,Neil Gaiman,Fantasy,3.88,53058,68.0,English,844.0,50800.0,25
Death: The High Cost of Living,1993.0,Neil Gaiman,Graphic Novels,4.2,41841,104.0,English,124.0,31000.0,26
Odd and the Frost Giants,2008.0,Neil Gaiman,Fantasy,3.99,36743,97.0,English,591.0,22000.0,27
The Sandman: Endless Nights,2003.0,Neil Gaiman,Graphic Novels,4.33,29729,160.0,English,225.0,14000.0,28
Don't Panic: The Official Hitchhiker's Guide to the Galaxy Companion,1986.0,Neil Gaiman,Nonfiction,4.28,25148,181.0,English,3630.0,21700.0,29
"The Absolute Sandman, Volume 1",1990.0,Neil Gaiman,Comics,4.64,22330,612.0,English,532.0,18100.0,30
The Sandman: The Dream Hunters,1999.0,Neil Gaiman,Graphic Novels,4.41,21084,128.0,English,90.0,13500.0,31
Art Matters: Because Your Imagination Can Change the World,2018.0,Neil Gaiman,Nonfiction,4.29,19283,101.0,English,243.0,26400.0,32
InterWorld,2007.0,Neil Gaiman,Fantasy,3.56,22777,239.0,English,852.0,13400.0,33
Batman: Whatever Happened to the Caped Crusader?,2009.0,Neil Gaiman,Comics,3.98,19593,128.0,English,102.0,10600.0,34
"The Graveyard Book Graphic Novel, Volume 1",2014.0,Neil Gaiman,Graphic Novels,4.31,17886,192.0,English,402.0,11700.0,35
