Title,Publication Year,Author,Genre,Average Rating,Number of Ratings,Number of Pages,Language,Currently Reading,Want to Read,Rank
The House in the Cerulean Sea,2020,T.J. Klune,Fantasy,4.39,747551,394.0,N/A,40200.0,869000.0,1
House of Earth and Blood,2020,Sarah J. Maas,Romance,4.47,858215,803.0,English,71600.0,959000.0,2
The Invisible Life of Addie LaRue,2020,Victoria E. Schwab,Fantasy,4.18,1227862,448.0,English,112000.0,2000000.0,3
American Dirt,2020,Jeanine Cummins,Fiction,4.37,616937,459.0,English,66700.0,417000.0,4
The Midnight Library,2020,Matt Haig,Fiction,3.99,2027688,288.0,English,106000.0,2000000.0,5
The Vanishing Half,2020,Brit Bennett,Fiction,4.14,794213,343.0,English,47800.0,781000.0,6
Beach Read,2020,Emily Henry,Romance,3.99,1343005,361.0,English,49900.0,1000000.0,7
My Dark Vanessa,2020,Kate Elizabeth Russell,Fiction,4.1,368009,373.0,English,17800.0,467000.0,8
The Ballad of Songbirds and Snakes,2020,Suzanne Collins,Dystopia,3.97,877585,541.0,English,75200.0,580000.0,9
Mexican Gothic,2020,Silvia Moreno-Garcia,Horror,3.68,439225,320.0,English,8848.0,491000.0,10
Chain of Gold,2020,Cassandra Clare,Fantasy,4.38,111921,582.0,English,7188.0,225000.0,11
Dear Edward,2020,Ann Napolitano,Fiction,4.08,196708,340.0,English,14900.0,208000.0,12
The Guest List,2020,Lucy Foley,Mystery,3.81,1117044,319.0,English,56500.0,887000.0,13
Piranesi,2020,Susanna Clarke,Fantasy,4.22,337875,272.0,English,16700.0,478000.0,14
Reign,2020,Siobhan Davis ™,Reverse Harem,4.27,12510,479.0,English,2924.0,5688.0,15
The Southern Book Club's Guide to Slaying Vampires,2020,Grady Hendrix,Horror,3.8,253608,410.0,English,12200.0,308000.0,16
The Sun Down Motel,2020,Simone St. James,Mystery,4.01,167023,327.0,English,5511.0,182000.0,17
Untamed,2020,Glennon Doyle,Nonfiction,3.99,471352,333.0,English,48000.0,405000.0,18
Rebellion,2020,Siobhan Davis ™,Reverse Harem,4.29,15125,333.0,English,3272.0,5796.0,19
Bell Hammers,2020,Lancelot Schaubert,Historical Fiction,4.16,693,334.0,English,55.0,16400.0,20
The Girl with the Louding Voice,2020,Abi Daré,Fiction,4.43,159168,371.0,English,9115.0,206000.0,21
Resurrection,2020,Siobhan Davis ™,Reverse Harem,4.2,18661,371.0,English,6203.0,19300.0,22
The Shadows Between Us,2020,Tricia Levenseller,Fantasy,3.83,193331,326.0,English,6830.0,365000.0,23
Long Bright River,2020,Liz Moore,Mystery,4.04,123270,482.0,English,9784.0,159000.0,24
In Five Years,2020,Rebecca Serle,Romance,3.78,544701,272.0,English,25000.0,575000.0,25
Caste: The Origins of Our Discontents,2020,Isabel Wilkerson,Nonfiction,4.53,147865,544.0,English,39500.0,334000.0,26
Network Effect,2020,Martha Wells,Science Fiction,4.47,97870,352.0,English,6318.0,42800.0,27
Boot: A Sorta Novel of Vietnam,2020,Charles L. Templeton,Historical Fiction,4.56,196,393.0,English,37.0,1831.0,28
Tweet Cute,2020,Emma Lord,Romance,3.89,77055,368.0,English,2241.0,113000.0,29
Hamnet,2020,Maggie O'Farrell,Historical Fiction,4.2,284654,372.0,English,24100.0,319000.0,30
The Glass Hotel,2020,Emily St. John Mandel,Fiction,3.69,182336,307.0,English,14200.0,242000.0,31
Oona Out of Order,2020,Margarita Montimore,Fiction,3.86,88365,339.0,English,5340.0,98400.0,32
Midnight Sun,2020,Stephenie Meyer,Fantasy,3.73,275436,756.0,English,1069.0,12100.0,33
Home Before Dark,2020,Riley Sager,Horror,4.06,239311,389.0,English,8325.0,303000.0,34
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",2020,Erik Larson,History,4.3,124638,546.0,English,33900.0,180000.0,35
A Deadly Education,2020,Naomi Novik,Fantasy,3.95,190890,320.0,English,11500.0,379000.0,36
A Fairy Awesome Story,2020,Ellie Aiden,Reverse Harem,3.91,635,138.0,English,90.0,3042.0,37
The City We Became,2020,N.K. Jemisin,Fantasy,3.86,73961,437.0,English,9518.0,178000.0,38
Boyfriend Material,2020,Alexis Hall,LGBT,4.0,140841,425.0,English,7800.0,206000.0,39
Smoke Bitten,2020,Patricia Briggs,Urban Fantasy,4.43,33696,352.0,English,2617.0,15500.0,40
The Book of Longings,2020,Sue Monk Kidd,Historical Fiction,4.23,131002,416.0,English,15000.0,181000.0,41
Transcendent Kingdom,2020,Yaa Gyasi,Fiction,4.11,153760,264.0,English,7198.0,232000.0,42
Cemetery Boys,2020,Aiden Thomas,Fantasy,4.26,99600,344.0,English,4811.0,235000.0,43
Sweep with Me,2020,Ilona Andrews,Fantasy,4.39,19297,146.0,English,2525.0,3801.0,44
Hidden Valley Road: Inside the Mind of an American Family,2020,Robert Kolker,Nonfiction,4.16,132628,377.0,English,16900.0,176000.0,45
A Promised Land,2020,Barack Obama,Nonfiction,4.33,245902,768.0,English,68100.0,428000.0,46
One of Us Is Next,2020,Karen M. McManus,Mystery,3.91,252537,377.0,English,10500.0,250000.0,47
The Jane Austen Society,2020,Natalie Jenner,Historical Fiction,3.73,49134,304.0,English,3814.0,120000.0,48
The Empire of Gold,2020,S.A. Chakraborty,Fantasy,4.5,63359,766.0,English,3775.0,86200.0,49
Come Tumbling Down,2020,Seanan McGuire,Fantasy,3.91,27573,208.0,English,471.0,17700.0,50
The Only Good Indians,2020,Stephen Graham Jones,Horror,3.69,92530,305.0,English,8351.0,213000.0,51
A Heart So Fierce and Broken,2020,Brigid Kemmerer,Fantasy,3.89,70646,450.0,English,3587.0,84500.0,52
The Switch,2020,Beth O'Leary,Romance,3.95,136596,336.0,English,5281.0,148000.0,53
Black Sun,2020,Rebecca Roanhorse,Fantasy,4.19,48639,454.0,English,3604.0,163000.0,54
Heart Bones,2020,Colleen Hoover,Romance,4.22,593279,338.0,English,22500.0,415000.0,55
Deacon King Kong,2020,James McBride,Fiction,4.17,73859,370.0,English,11100.0,97300.0,56
Credence,2020,Penelope Douglas,Romance,3.68,434202,560.0,English,39500.0,317000.0,57
Troubled Blood,2020,Robert Galbraith,Mystery,4.38,134859,944.0,English,10900.0,42200.0,58
Before and After,2020,Andrew Shanahan,Horror,4.01,5083,234.0,English,590.0,9432.0,59
From Blood and Ash,2020,Jennifer L. Armentrout,Romance,4.22,680930,622.0,English,45600.0,977000.0,60
Playing with Fire,2020,L.J. Shen,Romance,4.17,43862,436.0,English,9861.0,42000.0,61
If It Bleeds,2020,Stephen King,Horror,3.98,108294,438.0,English,435.0,152000.0,62
The Evening and the Morning,2020,Ken Follett,Historical Fiction,4.39,119713,913.0,English,15500.0,111000.0,63
Rodham,2020,Curtis Sittenfeld,Fiction,3.83,46776,420.0,English,3693.0,50800.0,64
Migrations,2020,Charlotte McConaghy,Fiction,4.13,81536,256.0,English,6958.0,142000.0,65
The Night Watchman,2020,Louise Erdrich,Fiction,4.1,81570,464.0,N/A,12400.0,142000.0,66
The Henna Artist,2020,Alka Joshi,Historical Fiction,4.18,192299,384.0,English,13300.0,193000.0,67
The Kingdom of Back,2020,Marie Lu,Fantasy,3.71,22604,313.0,English,1307.0,91200.0,68
The Thursday Murder Club,2020,Richard Osman,Mystery,3.88,578527,382.0,English,61500.0,463000.0,69
Eight Perfect Murders,2020,Peter Swanson,Mystery,3.63,84786,270.0,English,3856.0,84700.0,70
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,2020,Mary L. Trump,Nonfiction,3.82,91474,225.0,English,35000.0,61200.0,71
Heartstopper: Volume Three,2020,Alice Oseman,Graphic Novels,4.56,466211,384.0,English,3604.0,115000.0,72
You Deserve Each Other,2020,Sarah Hogle,Romance,3.9,120539,368.0,English,3485.0,229000.0,73
Dear Ava,2020,Ilsa Madden-Mills,Romance,4.11,52792,376.0,English,12900.0,49000.0,74
"Take a Hint, Dani Brown",2020,Talia Hibbert,Romance,4.01,104772,400.0,English,3235.0,153000.0,75
A Good Neighborhood,2020,Therese Anne Fowler,Fiction,3.81,56392,311.0,English,4956.0,66900.0,76
The Mirror & the Light,2020,Hilary Mantel,Historical Fiction,4.4,41951,757.0,English,10000.0,67300.0,77
The Mountains Sing,2020,Nguyễn Phan Quế Mai,Historical Fiction,4.32,50931,352.0,English,4630.0,84200.0,78
The Inheritance Games,2020,Jennifer Lynn Barnes,Mystery,4.15,864696,386.0,English,38400.0,945000.0,79
Hate,2020,Tate James,Reverse Harem,4.2,56046,418.0,English,8109.0,53300.0,80
Undercover Bromance,2020,Lyssa Kay Adams,Romance,3.87,57934,338.0,English,996.0,40200.0,81
Fake,2020,Tate James,Reverse Harem,4.36,44914,436.0,English,3687.0,15400.0,82
Fake It 'Til You Break It,2020,Meagan Brandy,Romance,4.1,29440,399.0,English,6542.0,25000.0,83
One to Watch,2020,Kate Stayman-London,Romance,3.88,95431,417.0,English,2076.0,108000.0,84
Don't Close Your Eyes,2014,Lynessa James,Romance,3.77,600,326.0,English,84.0,7437.0,85
Liar,2020,Tate James,Reverse Harem,4.35,48152,448.0,English,4205.0,15900.0,86
The Happy Ever After Playlist,2020,Abby Jimenez,Romance,4.18,215751,401.0,English,8870.0,179000.0,87
The Other Mrs.,2020,Mary Kubica,Thriller,3.75,132972,405.0,English,9033.0,115000.0,88
The Book of Lost Friends,2020,Lisa Wingate,Historical Fiction,4.15,108346,388.0,English,17900.0,138000.0,89
Brontë’s Mistress,2020,Finola Austin,Historical Fiction,3.6,1106,308.0,English,103.0,6372.0,90
One by One,2020,Ruth Ware,Mystery,3.73,201083,372.0,English,13100.0,174000.0,91
The Last Flight,2020,Julie Clark,Thriller,4.1,235759,320.0,English,27100.0,1911.0,92
Complicated Moonlight,2020,Lynessa Layne,Reverse Harem,4.36,304,287.0,English,20.0,4050.0,93
The Present,2021,Kenneth Thomas,Science Fiction,3.65,2305,200.0,English,16.0,2074.0,94
The Death of Vivek Oji,2020,Akwaeke Emezi,Fiction,4.13,63513,248.0,English,2245.0,137000.0,95
Weather,2020,Jenny Offill,Fiction,3.55,37686,208.0,English,2008.0,50800.0,96
Little Secrets,2020,Jennifer Hillier,Thriller,4.22,162365,352.0,English,8587.0,205000.0,97
Be My Brayshaw,2020,Meagan Brandy,Romance,4.3,13285,468.0,English,2924.0,13100.0,98
The Honey-Don't List,2020,Christina Lauren,Romance,3.5,74874,308.0,English,3219.0,62800.0,99
The Past,2020,Kenneth Thomas,Science Fiction,3.93,802,195.0,English,59.0,6020.0,100
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",2020,Phuc Tran,Memoir,4.3,9240,320.0,English,697.0,21000.0,101
Infinity Son,2020,Adam Silvera,Fantasy,3.3,13125,368.0,English,1042.0,46100.0,102
You Are Not Alone,2020,Greer Hendricks,Thriller,3.76,85989,343.0,English,4140.0,83800.0,103
What You Wish For,2020,Katherine Center,Romance,3.77,60520,320.0,English,2917.0,54900.0,104
The Hunter,2020,L.J. Shen,Romance,3.98,51797,394.0,English,16400.0,40100.0,105
Solutions and Other Problems,2020,Allie Brosh,Humor,4.21,37452,519.0,English,2372.0,58600.0,106
The Space Between Worlds,2020,Micaiah Johnson,Science Fiction,3.94,41050,336.0,English,2591.0,102000.0,107
